Individu,Dim1_coord,Dim2_coord,Dim1_contrib,Dim2_contrib,Cos2_total
78,-0.5696642623659764,-0.24840861823823188,0.006009580959573563,0.0011427192891671773,0.0
79,0.03956663468774343,0.5511397476998711,2.8991084824320332e-05,0.0056250929906421785,0.0
80,-0.09672179339266808,0.23587309881740334,0.0001732426910572969,0.001030298495291194,0.0
81,0.12219920945310432,-0.2180701545095579,0.00027653049612895393,0.000880640597922635,0.0
82,-0.8196937833644438,0.3903098003743695,0.012442553675672546,0.0028211433383014822,0.0
83,-0.8196937833644438,0.3903098003743695,0.012442553675672546,0.0028211433383014822,0.0
84,-0.5718249220749096,-0.30156759510818776,0.006055254472332908,0.001684129896654369,0.0
85,-0.04706283425026506,0.22985973610193514,4.1016858660517934e-05,0.0009784351533490992,0.0
86,-0.18335126233067656,-0.08540691278053267,0.0006225497295972728,0.00013508038427224975,0.0
87,0.035569740515095837,-0.5393501661074939,2.3429748894652447e-05,0.0053870111422255835,0.0
88,-0.9063232523024523,0.06902978877643351,0.015211515512298074,8.824280997257432e-05,0.0
89,-0.9063232523024523,0.06902978877643351,0.015211515512298074,8.824280997257432e-05,0.0
90,-0.6584543910129181,-0.6228476067061238,0.008028929352670246,0.0071840581699915895,0.0
91,-0.04922349395919826,0.17670075923197923,4.4869488102801965e-05,0.000578206635428853,0.0
92,-0.18551192203960976,-0.13856588965048855,0.0006373087633116747,0.00035556492175243246,0.0
93,0.03340908080616264,-0.5925091429774498,2.066975333912362e-05,0.00650124230577541,0.0
94,-0.9084839120113855,0.015870811906477628,0.015284129970065044,4.664493899459127e-06,0.0
95,-0.9084839120113855,0.015870811906477628,0.015284129970065044,4.664493899459127e-06,0.0
96,-0.6606150507218513,-0.6760065835760797,0.008081708245189527,0.008462683352559314,0.0
97,0.4362728296998542,0.047477119856030536,0.003524703369154033,4.174216499673885e-05,0.0
98,0.2999844016194428,-0.26778952902643727,0.0016664933558328703,0.0013279857751148376,0.0
99,0.5189054044652152,-0.7217327823533985,0.00498634849598534,0.00964626313191812,0.0
100,-0.422987588352333,-0.11335282746947109,0.003313305553705989,0.0002379419165800682,0.0
101,-0.422987588352333,-0.11335282746947109,0.003313305553705989,0.0002379419165800682,0.0
102,-0.1751187270627988,-0.8052302229520284,0.0005678994179276863,0.01200732799917358,0.0
103,0.434112169990921,-0.0056818570139253585,0.003489877335818998,5.978425764202502e-07,0.0
104,0.2978237419105095,-0.3209485058963931,0.0016425737267699563,0.0019075545080949486,0.0
105,0.516744744756282,-0.7748917592233544,0.0049449098376524924,0.011119578490967877,0.0
106,-0.4251482480612663,-0.16651180433942697,0.003347241348695641,0.0005134477960068823,0.0
107,-0.4251482480612663,-0.16651180433942697,0.003347241348695641,0.0005134477960068823,0.0
